cluster_hclust,cluster_hclust,module_size,member,mean_expr,peakpos_mean,peakpos_std
11,11,66,"['Pias4' 'Cd63' 'Nefh' 'H2afv' 'Nt5c3b' 'Galk1' 'Ppp2r3c' 'Mis18bp1'
 'Gemin2' 'Psma3' 'Tmem121' 'Sox4' 'Hnrnpa0' 'Tmed9' 'Serf1'
 '4833420G17Rik' 'Ppp2r2a' 'Trap1' 'Runx1' 'Bdh1' 'Cpne5' 'Calm2' 'Cdkn1a'
 'Lsm2' 'Fxn' 'Hps1' 'Fbxw4' 'Ldb1' 'Ehd1' 'Chchd5' 'Tpx2' 'Gyg' 'Cpa3'
 'P2ry14' 'Atxn7l2' 'Dapp1' 'Cdc20' 'Lck' 'Cep85' 'Mad2l2' 'Mxd4' 'Fbxl5'
 'Armc10' 'Cenpa' 'Gm1673' 'Ddx55' 'Rhbdd2' 'Fscn1' 'Bud31' 'Vgll4'
 'Ptov1' 'Wdr73' 'Ifitm2' 'Cdkn1c' 'Plk1' 'Ifitm1' 'Ctxn1' '4921524J17Rik'
 'Cfap20' 'Hsbp1' 'Ntpcr' 'Ccnb2' 'Rbm5' 'Smco4' 'Prkcsh' 'Hmgb3']",10.398006421151514,18.333333333333336,5.422921796235016
12,12,33,"['Uxs1' 'Swt1' 'Tmem185b' 'Mtfp1' 'Mtif2' 'Mrps23' 'Med6' 'Alkbh1' 'Fntb'
 'Mcur1' 'Thoc3' 'Zcchc9' 'Comtd1' 'Kpna3' 'Etf1' 'Rad9a' 'AI837181'
 'Casp7' 'Dtwd1' 'Snrnp200' 'Atp1a1' 'Caap1' 'Wrap73' 'Cdk5' 'Ppat' 'Lias'
 'Zfp422' 'Nagk' 'BC017158' 'Med17' '2300009A05Rik' 'Msl3' 'Yipf6']",3.5781313206666665,10.31547619047619,4.6557056648906885
13,13,49,"['Soat1' 'Osgepl1' 'Zfand2b' 'Cenpl' 'Ccar1' 'Rtcb' 'Pym1' 'Cfap36' 'Bod1'
 'Hmmr' 'Kdm6b' 'Rfng' 'Ccdc40' 'Zfp322a' 'Gmds' 'Rfesd' 'Rbm26' 'Basp1'
 'Ccnt1' 'Letmd1' 'Krt18' 'Snap29' 'Zfp945' 'AY036118' 'Msrb1' 'Morn2'
 'Sft2d3' 'D030056L22Rik' 'Wbp1l' 'Api5' 'Pxmp4' 'Cntrl' 'Ctso' 'Gpbp1l1'
 'Tmem35b' 'Mfsd10' 'Abraxas1' 'Trafd1' 'Ubl3' '1700096K18Rik' 'Bcl7b'
 'Tprkb' 'Slx1b' 'Kptn' 'Nanos3' 'Zfpm1' 'Gas8' 'Mapkapk3' 'Naa10']",2.8906751055714284,16.06,6.384094819680129
14,14,32,"['Tmem9' 'Fzr1' 'Sar1a' 'Csnk1g2' 'Sptbn1' 'Crlf3' 'Heatr6' 'Dhrs7' 'Lgmn'
 'Gm11361' 'Cgrrf1' 'Ncf4' 'Ppil2' 'Rps18' 'Ccs' 'Uqcc3' 'Fbxl15' 'Rtf2'
 'Tmem51' 'Fbxo6' 'Dcaf10' 'Ppt1' 'Akr7a5' 'Eif2b4' 'Pon2' 'Chmp2a'
 'Tm2d3' 'Terf2ip' 'Afg3l1' 'Mrpl4' 'Itm2a' 'Trappc2']",9.113836821031251,17.21969696969697,7.6587927757647805
15,15,30,"['Lancl1' 'Chpf' 'Smyd3' 'Bclaf1' 'Cactin' 'Mettl16' 'Psme2' 'Trim13'
 'Zfp622' 'Atp6v1a' 'Rab40c' 'Tbp' 'Neu1' 'Ik' 'Stam2' 'Sephs1' 'Ttf1'
 'Snap23' 'Ndufaf5' 'Pnrc1' 'Hint2' 'Smap2' 'Zfp637' 'Nsmce1' 'Sirt3'
 'Mob2' 'Fcho1' 'Yipf2' 'Sept7' 'Bhlhb9']",5.707243264166666,17.70486111111111,4.735388100563982
16,16,30,"['Cnn2' 'Lyrm9' 'Sap30bp' 'Yy1' 'Naa35' 'Gng2' 'Bcdin3d' 'Emc2' 'Nup50'
 'Mrpl2' 'Me2' 'Rbm27' 'Mbd2' 'Fkbp2' 'Zdhhc16' 'Bmyc' 'Dnttip1'
 'Tnfaip8l2' 'Csde1' 'AU022252' 'Sh3bgrl3' 'Fam69a' 'Abcb8' 'Taok3'
 'Alox5ap' 'Mrps33' 'Rgs10' 'Tnni2' 'Tspan32' 'Gripap1']",8.5493177375,18.25,6.478648284780059
17,17,41,"['Ndufb3' 'Tfam' 'Actr2' 'Ccl3' 'Slc25a39' 'Limd2' 'Zfp277' 'Cdca7l'
 'Psma2' 'Med10' 'Phf20l1' 'Myg1' 'Angptl4' 'Pdlim1' 'Cuedc2' 'Stx5a'
 'BC005624' 'Mettl5' 'Ddrgk1' 'Samhd1' 'Ptpra' 'Ptpn1' 'Wdr77' 'Dcaf12'
 'Rnf220' 'Trmt10b' 'Rsrp1' 'Commd8' 'Tmem175' 'Snrnp27' 'Wbp11' 'Dedd2'
 'Cd2bp2' 'Etfb' 'Vrk3' 'Fbxo31' 'Snapc2' 'Rexo2' '1110032A03Rik' 'Gnai2'
 'Snupn']",9.150692162731708,14.494949494949495,4.87383975660505
18,18,47,"['Ncstn' 'Wdr26' 'Ginm1' 'Tle6' 'Dnajc12' 'Cep83' 'Dctn2' 'Adprm' 'Traf4'
 'Ccdc43' 'Rapgef6' 'Gm2a' 'Acot13' 'Rabggta' 'Atp5g2' 'Carhsp1' 'Txndc11'
 'Zfp148' 'Eif2ak2' 'Ndfip1' 'Spindoc' 'Ide' 'Slc25a28' 'Paxx' 'Msrb2'
 'Tor2a' 'Zswim1' 'Vps45' 'Sec62' 'Elovl6' 'Tstd3' 'Ncdn' 'Agtrap'
 'Zcchc7' 'Tes' 'Zfp787' 'Uri1' 'Aqp11' 'Dmac2' 'Kdelr1' 'Htatip2'
 'Hgsnat' 'Irf2bp2' 'Adgrg5' 'Pdcd7' 'Atrx' 'Bex1']",3.6548655463404254,14.525641025641026,7.976073362801958
19,19,32,"['Txndc9' '5730455P16Rik' 'Tepsin' 'Kif3a' 'Sstr2' 'Dnaaf2' 'Atad2b'
 'Cript' 'Epcam' 'Rock1' 'Ehmt1' 'Mkks' 'Adal' 'Prcc' 'Gba' 'Atp6v1g1'
 '2900026A02Rik' 'Sbno1' 'Fbxl18' 'Polr2b' 'Pitpnb' 'Bcl7a' 'Mlxip'
 'Bcl2l13' 'Ddx47' 'Scn1b' 'Isoc2a' 'Zfp30' 'Tspan3' 'Kif23' 'Pomgnt2'
 '1110059G10Rik']",3.8583623986249997,15.55,5.035705842613657
20,20,17,"['Pdcl3' 'Bptf' 'Lgals3bp' 'Cltb' 'Lmf2' 'N6amt1' 'Egr1' 'Acot8' 'Tuft1'
 'Dhcr24' 'Srpk2' 'Selplg' 'Dok1' 'Capg' 'AI467606' 'Pus3' 'Otud5']",4.5628249227647055,12.25,6.135377506140689
21,21,84,"['Inpp1' '2310009B15Rik' 'Rcsd1' 'Pea15a' '4930523C07Rik' 'Ddit4' 'Gstt2'
 'S1pr4' 'Sesn1' 'Smpdl3a' 'Ilvbl' 'Ppp1r12a' 'Stat6' 'Emid1' 'Ncor1'
 'Tefm' 'Sp2' 'Arhgap27' 'Snrnp25' 'Trpv2' 'Zfp36l1' 'Asb2' 'Sp4' 'Ap4s1'
 'Fut8' 'Ipo11' 'Akr1c13' 'Habp4' 'Brd9' 'Gpr18' 'Ddx17' 'Ndufa6' 'Trabd'
 'Tango2' 'Pigp' 'Ring1' 'Mdfi' 'Prelid2' 'Ctnna1' 'Cd74' 'Fgfbp3'
 'Crtac1' 'Rela' 'Gm42067' 'Pcna-ps2' 'Zbp1' 'Dph7' 'Rnf208' 'Tmem203'
 'Anapc2' 'Harbi1' 'Rab22a' 'Trim59' 'Rpf1' 'Ptgr1' 'Osbpl9' 'Tmem50a'
 'Eloa' 'Coq3' 'Paqr7' 'Mpv17' 'Nipal1' 'Tmem120b' 'Mkrn1' 'Stambp'
 'Abtb1' 'Atp6v1f' 'Akr1b10' 'Bckdha' 'Gramd1a' 'Tmem126a' 'Aamdc'
 'Zfp768' 'Deaf1' 'Eef2k' 'Mau2' 'Abhd8' 'Cacna1a' 'Zfp266' 'Tmem205'
 'Kbtbd3' 'Tmem218' 'Parp16' 'Prps2']",4.666358134416667,15.28985507246377,7.588525677220702
